"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"118","Vineyards","DE26",68414363.6052,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"119","Vineyards","DE27",52111.01,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"120","Vineyards","DE40",220971.74875,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"121","Vineyards","DE71",45517518.3860502,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"122","Vineyards","DEA2",263705.92075,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"123","Vineyards","DEA5",63751.58095,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
"124","Vineyards","DEB1",104403096.358901,2,"DE","Koblenz","Koblenz",0,NA,0,"DEB1"
"125","Vineyards","DEB2",101301339.69224,2,"DE","Trier","Trier",0,NA,0,"DEB2"
"126","Vineyards","DEB3",592341284.681757,2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",0,NA,0,"DEB3"
"127","Vineyards","DEC0",1284670.3604,2,"DE","Saarland","Saarland",0,NA,0,"DEC0"
"128","Vineyards","DED2",3298522.2401,2,"DE","Dresden","Dresden",0,NA,0,"DED2"
"129","Vineyards","DEE0",6406515.3168499,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"130","Vineyards","DEG0",523331.84585,2,"DE","Thüringen","Thüringen",0,NA,0,"DEG0"
